"state","year","quarter","transaction_type","total_transaction","transaction_amount"
"andhra-pradesh",2019,1,"Others","361263","284937625"
"andhra-pradesh",2019,2,"Peer-to-peer payments","32494402","103924649232"
"andhra-pradesh",2019,2,"Recharge & bill payments","14093964","4708345388"
"andhra-pradesh",2019,2,"Merchant payments","9226537","4613405203"
"andhra-pradesh",2019,2,"Financial Services","145310","26626697"
"andhra-pradesh",2019,2,"Others","448802","361492238"
"andhra-pradesh",2019,3,"Peer-to-peer payments","39023491","124338645330"
"andhra-pradesh",2019,3,"Recharge & bill payments","20147629","6893984677"
"andhra-pradesh",2019,3,"Merchant payments","16581787","7887394038"
"andhra-pradesh",2019,3,"Financial Services","122270","29778183"
"andhra-pradesh",2019,3,"Others","413437","298142028"
"andhra-pradesh",2019,4,"Peer-to-peer payments","57181511","178893550051"
"andhra-pradesh",2019,4,"Merchant payments","25122370","13476303368"
"andhra-pradesh",2019,4,"Recharge & bill payments","24469888","8335168606"
"andhra-pradesh",2019,4,"Financial Services","105662","26796572"
"andhra-pradesh",2019,4,"Others","338672","216496893"
"andhra-pradesh",2020,1,"Peer-to-peer payments","65452143","223088554055"
"andhra-pradesh",2020,1,"Merchant payments","31408022","18603161784"
"andhra-pradesh",2020,1,"Recharge & bill payments","30449644","10813530778"
"andhra-pradesh",2020,1,"Financial Services","75238","43739133"
"andhra-pradesh",2020,1,"Others","292310","188228538"
"andhra-pradesh",2020,2,"Peer-to-peer payments","73609921","262731724131"
"andhra-pradesh",2020,2,"Recharge & bill payments","41013987","16991006437"
"andhra-pradesh",2020,2,"Merchant payments","29976765","22625596525"
"andhra-pradesh",2020,2,"Financial Services","140941","145274999"
"andhra-pradesh",2020,2,"Others","176241","90087655"
"andhra-pradesh",2020,3,"Peer-to-peer payments","106791894","406461788252"
"andhra-pradesh",2020,3,"Merchant payments","54055557","40739580214"
"andhra-pradesh",2020,3,"Recharge & bill payments","43500067","19475104675"
"andhra-pradesh",2020,3,"Financial Services","243088","256074925"
"andhra-pradesh",2020,3,"Others","312329","151582519"
"andhra-pradesh",2020,4,"Peer-to-peer payments","152003791","566639138544"
"andhra-pradesh",2020,4,"Merchant payments","86581460","66654048150"
"andhra-pradesh",2020,4,"Recharge & bill payments","46810304","20936337212"
"andhra-pradesh",2020,4,"Financial Services","265470","305168772"
"andhra-pradesh",2020,4,"Others","457527","306853356"
"andhra-pradesh",2021,1,"Peer-to-peer payments","149313738","580542193013"
"andhra-pradesh",2021,1,"Merchant payments","97920281","70813192713"
